"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', 'eval_item')","('Eval', 'value')"
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",24.075000000000003
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,RunLength,No,"('Run Length MSE',)",5004.106132075472
Naive,BinSeg,TS4CD,AlanTuringTCPD,construction,RunLength,No,"('Run Length MSRE',)",69.74573159145612
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('Annotation Error',)",2.4
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('Jaccard Index',)",0.29859943977591036
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('Rand Index',)",0.6171428571428572
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.256582633053221
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.14872549019607845
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('best f1 under pa', 'f1')",0.256582633053221
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('best f1 under pa', 'precision')",0.14872549019607845
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('Run Length MSE',)",100.41904761904762
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ChangePoint,No,"('Run Length MSRE',)",10.012781823780859
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_mean')",9.6
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_std')",3.491607978309962
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",12.580000000000002
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",10.94
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",9.5
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",8.099999999999998
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",6.7
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,RunLength,No,"('Run Length MSE',)",100.41904761904762
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,RunLength,No,"('Run Length MSRE',)",10.012781823780859
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('Annotation Error',)",2.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('Jaccard Index',)",0.5365117521367522
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('Rand Index',)",0.8395675043834016
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.1132075471698112
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.06
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('best f1 under pa', 'f1')",0.1132075471698112
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('best f1 under pa', 'precision')",0.06
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('Run Length MSE',)",290.1186440677966
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,"('Run Length MSRE',)",17.032869519484866
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ReportPoint,No,"('Detection Delay', 'delay_mean')",17.666666666666668
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ReportPoint,No,"('Detection Delay', 'delay_std')",7.845734863959881
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",25.6
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",20.799999999999997
